종점,노선ID,노선번호,노선유형,기점
금구동(종점),DGB3000609007,609,간선버스,대천공영차고지앞
동호공영차고지건너,DGB3000618003,618,간선버스,대곡주공8단지건너
성보교통건너,DGB3000623002,623,간선버스,달성군청건너
금구동(종점),DGB3000649000,649,간선버스,대곡공원앞
동대구역(2번출구)건너,DGB3000650005,650,간선버스,다산(종점)
반야월역(3번출구),DGB3000651000,651,간선버스,명곡미래빌1단지
성보교통건너,DGB3000653000,653,간선버스,설화리(종점)1
매곡(종점),DGB3000655000,655,간선버스,유곡리공영차고지앞
대천교,DGB3000665000,665,간선버스,기업은행국가산단지점건너
유가사(종점),DGB3000665003,665,간선버스,대곡역(1번출구)
대곡주공8단지앞,DGB3000706001,706,간선버스,관음변전소2
관음변전소4,DGB3000707000,707,간선버스,관음변전소3
동호공영차고지건너,DGB3000708002,708,간선버스,북구 동호동(종점)1
금구동(종점),DGB3000719001,719,간선버스,칠곡우방타운건너(종점)
덕원고등학교건너,DGB3000724000,724,간선버스,칠곡우방타운건너(종점)
매곡(종점),DGB3000725000,725,일반버스,북구 동호동(종점)1
대곡주공8단지앞,DGB3000726000,726,간선버스,북구 동호동(종점)1
대덕맨션앞,DGB3000730002,730,간선버스,동명교통
서대구역(남측)2,DGB3000802000,802,간선버스,대구대(정문1)
반야월역(3번출구),DGB3000805000,805,간선버스,달서아트센터앞
진밭골(종점)2,DGB3000814001,814,간선버스,대구대(정문1)
대천교,DGB3000836001,836,간선버스,동호공영차고지앞
동호공영차고지건너,DGB3000848000,848,간선버스,동호공영차고지앞
금강동,DGB3000848001,848,간선버스,금강동
동호공영차고지건너,DGB3000848002,848,간선버스,금강동
금강동,DGB3000848003,848,간선버스,동호공영차고지앞
범물1동행정복지센터앞,DGB3000894000,894,간선버스,경일대종점
관음변전소1,DGB3000937000,937,간선버스,덕원고등학교앞2
모다아울렛앞,DGB3001725000,7250,일반버스,태전역2
동대구역,DGB3001814000,8140,일반버스,TBC건너
칠성고가도로하단,DGB4010002001,가창2,지선버스,칠성고가도로하단
칠성고가도로하단,DGB4010002003,가창2,지선버스,칠성고가도로하단
칠성고가도로하단,DGB4010002004,가창2,지선버스,칠성고가도로하단
칠성고가도로하단,DGB4010002118,가창2,지선버스,칠성고가도로하단
매곡(종점),DGB4030001000,달서1,지선버스,대천공영차고지앞
앞산공원,DGB4030002002,달서2,지선버스,남도버스1
화원유원지(사문진주막촌),DGB4030003002,달서3,지선버스,신흥버스
신흥버스,DGB4030005001,달서5,지선버스,남도버스1
남도버스2,DGB4030006000,달서6,지선버스,남도버스1
다산(종점),DGB4040001006,달성1,지선버스,다산(종점)
다산(종점),DGB4040001007,달성1,지선버스,다산(종점)
다산(종점),DGB4040001008,달성1,지선버스,다산(종점)
다산(종점),DGB4040001009,달성1,지선버스,다산(종점)
대천교,DGB4040002044,달성2,지선버스,대천공영차고지앞
대천교,DGB4040002045,달성2,지선버스,대천공영차고지앞
대천교,DGB4040002046,달성2,지선버스,대천공영차고지앞
대천교,DGB4040002047,달성2,지선버스,대천공영차고지앞
대천교,DGB4040002048,달성2,지선버스,대천공영차고지앞
현풍공영버스정류장1,DGB4040003002,달성3,지선버스,현풍공영버스정류장2
현풍공영버스정류장1,DGB4040003003,달성3,지선버스,현풍공영버스정류장2
구지119안전센터건너,DGB4040004006,달성4,지선버스,기업은행국가산단지점건너
유가사(종점),DGB4040005000,달성5,지선버스,유천교2
유천교1,DGB4040005001,달성5,지선버스,유가사(종점)
유천교1,DGB4040005002,달성5,지선버스,유가사(종점)
유가사(종점),DGB4040005003,달성5,지선버스,유천교2
유가사(종점),DGB4040005070,달성5,지선버스,유천교2
유천교1,DGB4040005071,달성5,지선버스,유가사(종점)
유가사(종점),DGB4040005072,달성5,지선버스,유천교2
본말(종점),DGB4040006022,달성6,지선버스,현풍공영버스정류장2
유산리,DGB4040007011,달성7,지선버스,현풍공영버스정류장2
조일고등학교(종점),DGB4050001001,동구1,지선버스,조일고등학교(종점)
조일고등학교(종점),DGB4050001101,동구1-1,지선버스,조일고등학교(종점)
부동(종점),DGB4050003000,동구3,지선버스,칠성고가도로하단
경주최씨종가(종점),DGB4050003001,동구3,지선버스,칠성고가도로하단
K2관사입구(종점),DGB4050003002,동구3,지선버스,칠성고가도로하단
구둔산,DGB4050003003,동구3,지선버스,칠성고가도로하단
K2관사입구(종점),DGB4050003004,동구3,지선버스,칠성고가도로하단
동호공영차고지건너,DGB4050004000,동구4,지선버스,반야월역(4번출구)1
반야월역(3번출구),DGB4050004100,동구4-1,지선버스,동호공영차고지앞
매여동(동구)저탄장,DGB4050005000,동구5,지선버스,매여동(동구)저탄장
용계삼거리1,DGB4050005100,동구5,지선버스,매여동(동구)저탄장
안심역(5번출구),DGB4050006000,동구6,지선버스,LH14단지아파트
안심역(5번출구),DGB4050006100,동구6,지선버스,LH14단지아파트
안심역(5번출구),DGB4050006200,동구6,지선버스,내곡동마을회관
동호공영차고지건너,DGB4050007001,동구7,지선버스,동호공영차고지앞
연경동종점1,DGB4050008001,동구8,지선버스,연경동종점2
반야월역(3번출구),DGB4050010000,동구10,지선버스,반야월역(4번출구)2
성보교통건너,DGB4060001000,북구1,지선버스,도남LH2단지아파트건너
청라언덕(신남)역(1번출구),DGB4060002002,북구2,지선버스,봉무공원앞
동호공영차고지건너,DGB4060003002,북구3,지선버스,노곡동
방천리공영차고지,DGB4060004000,북구4,지선버스,방천리공영차고지
관음변전소1,DGB4060005000,북구5,지선버스,관음변전소2
관음변전소1,DGB4060005001,북구5,지선버스,관음변전소2
성보교통건너,DGB4060006000,북구6,지선버스,성보교통앞
칠곡우방타운앞(종점),DGB4060007000,북구7,지선버스,칠곡우방타운건너(종점)
관음변전소4,DGB4060008000,북구8,지선버스,관음변전소3
매곡(종점),DGB4070001000,성서1,지선버스,연화리
매곡(종점),DGB4070001100,성서1-1,지선버스,연화리
영진전문대학칠곡캠퍼스정문,DGB4070002028,성서2,지선버스,대천공영차고지앞
하산스무지(종점),DGB4070002029,성서2,지선버스,대천공영차고지앞
육신사,DGB4070002030,성서2,지선버스,대천공영차고지앞
하산스무지(종점),DGB4070002031,성서2,지선버스,대천공영차고지앞
기곡(종점),DGB4070002032,성서2,지선버스,대천공영차고지앞
하산스무지(종점),DGB4070002035,성서2,지선버스,대천공영차고지앞
기곡(종점),DGB4070002036,성서2,지선버스,대천공영차고지앞
기곡(종점),DGB4070002037,성서2,지선버스,대천공영차고지앞
하산스무지(종점),DGB4070002038,성서2,지선버스,대천공영차고지앞
하산스무지(종점),DGB4070002039,성서2,지선버스,대천공영차고지앞
매곡(종점),DGB4070003000,성서3,지선버스,연화리
매곡(종점),DGB4070003003,성서3,지선버스,연화리
매곡(종점),DGB4070003007,성서3,지선버스,연화리
매곡(종점),DGB4070003008,성서3,지선버스,연화리
매곡(종점),DGB4070003010,성서3,지선버스,연화리
매곡(종점),DGB4070003011,성서3,지선버스,연화리
범물1동행정복지센터앞,DGB4080001000,수성1,지선버스,범물1동행정복지센터건너
범물1동행정복지센터앞,DGB4080001100,수성1-1,지선버스,범물1동행정복지센터건너
덕원고등학교건너,DGB4080002003,수성2,지선버스,덕원고등학교앞2
덕원고등학교건너,DGB4080002004,수성2,지선버스,덕원고등학교앞2
덕원고등학교건너,DGB4080002005,수성2,지선버스,덕원고등학교앞2
반야월역(3번출구),DGB4080003002,수성3,지선버스,반야월역(4번출구)2
반야월역(3번출구),DGB4080003102,수성3-1,지선버스,반야월역(4번출구)2
범물1동행정복지센터앞,DGB4080004001,수성4,지선버스,범물1동행정복지센터건너
두리봉터널종점,DGB4080005000,수성5,지선버스,가창초등학교앞
반야월역(3번출구),DGB4080006000,수성6,지선버스,반야월역(2번출구)
관음변전소1,DGB4090001001,칠곡1,지선버스,관음변전소2
관음변전소1,DGB4090001101,칠곡1-1,지선버스,관음변전소2
노곡동,DGB4090002016,칠곡2,지선버스,북구 동호동(종점)1
노곡동,DGB4090002017,칠곡2,지선버스,추동교
노곡동,DGB4090002018,칠곡2,지선버스,연호2동주민센터
동명교통,DGB4090003001,칠곡3,지선버스,동명교통
동명교통,DGB4090003007,칠곡3,지선버스,동명교통
동명교통,DGB4090003011,칠곡3,지선버스,동명교통
동명교통,DGB4090003013,칠곡3,지선버스,동명교통
동명교통,DGB4090003014,칠곡3,지선버스,동명교통
송학리윗세뜸,DGB4090003015,칠곡3,지선버스,동명교통
동명교통,DGB4090003017,칠곡3,지선버스,동명교통
동명교통,DGB4090003018,칠곡3,지선버스,방턱골
동명교통,DGB4090003021,칠곡3,지선버스,동명교통
동명교통,DGB4090003023,칠곡3,지선버스,송학교입구
도남동(종점),DGB4090005000,칠곡5,지선버스,도남동(종점)
도남동(종점),DGB4090005001,칠곡5,지선버스,도남동(종점)
동화시설집단지구(종점)2(대구시민안전테마파크),DGB4100001020,팔공1,지선버스,칠성고가도로하단
팔공학생야영장앞,DGB4100001021,팔공1,지선버스,칠성고가도로하단
능성동(종점)2,DGB4100001022,팔공1,지선버스,칠성고가도로하단
평광종점,DGB4100001023,팔공1,지선버스,칠성고가도로하단
동화시설집단지구(종점)2(대구시민안전테마파크),DGB4100001024,팔공1,지선버스,칠성고가도로하단
동화시설집단지구(종점)2(대구시민안전테마파크),DGB4100001025,팔공1,지선버스,칠성고가도로하단
갓바위,DGB4110001006,팔공2,지선버스,동대구역지하도2
갓바위,DGB4110002000,팔공3,지선버스,칠곡경대병원역건너2
방천리공영차고지,DGB4120002000,서구2,지선버스,방천리공영차고지
앞산공원,DGB4130001000,남구1,지선버스,앞산공원
앞산공원,DGB4130001100,남구1-1,지선버스,앞산공원
방천리공영차고지,DGB4130002000,남구2,지선버스,앞산공원
영남대 앞,DGB5000001000,직행1,광역버스,학정청아람건너
동대구역(2번출구)건너,DGB5000002000,직행2,광역버스,기업은행국가산단지점건너
도경1리,DGB7361101008,군위1,마을버스,군위공용버스터미널
장군리,DGB7361101009,군위1,마을버스,군위공용버스터미널
군위공용버스터미널,DGB7361102008,군위2,마을버스,군위공용버스터미널
군위공용버스터미널,DGB7361102009,군위2,마을버스,군위공용버스터미널
군위공용버스터미널,DGB7361102010,군위2,마을버스,군위공용버스터미널
군위공용버스터미널,DGB7361103010,군위3,마을버스,군위공용버스터미널
군위공용버스터미널,DGB7361104009,군위4,마을버스,군위공용버스터미널
매곡2리 마을회관,DGB7361105009,군위5,마을버스,군위공용버스터미널
군위공용버스터미널,DGB7361106009,군위6,마을버스,군위공용버스터미널
매곡2리 마을회관,DGB7361106011,군위6,마을버스,군위공용버스터미널
신녕버스정류장,DGB7361106012,군위6,마을버스,군위공용버스터미널
신녕버스정류장,DGB7361107009,군위7,마을버스,군위공용버스터미널
군위공용버스터미널,DGB7361107010,군위7,마을버스,군위공용버스터미널
군위공용버스터미널,DGB7361107011,군위7,마을버스,군위공용버스터미널
남산2리,DGB7361108009,군위8,마을버스,군위공용버스터미널
군위공용버스터미널,DGB7361109008,군위9,마을버스,군위공용버스터미널
군위공용버스터미널,DGB7361110011,군위10,마을버스,군위공용버스터미널
군위공용버스터미널,DGB7361110012,군위10,마을버스,군위공용버스터미널
군위공용버스터미널,DGB7361110013,군위10,마을버스,군위공용버스터미널
군위공용버스터미널,DGB7361110014,군위10,마을버스,군위공용버스터미널
군위공용버스터미널,DGB7361110015,군위10,마을버스,군위공용버스터미널
군위공용버스터미널,DGB7361110016,군위10,마을버스,군위공용버스터미널
창평1리,DGB7361111009,군위11,마을버스,군위공용버스터미널
