제품명,급여구분,특정연령,특정연령단위,업체명,금기연령층
프로솔액(클로베타솔프로피오네이트)_(23.3mg/50mL),급여,24,개월 미만,주식회사제뉴원사이언스,영유아
제이클로벨액(클로베타솔프로피오네이트)_(23.3mg/50mL),급여,24,개월 미만,(주)라이트팜텍,영유아
더모베이트액(클로베타솔프로피오네이트)_(25mg/50mL),급여,24,개월 미만,(주)글락소스미스클라인,영유아
프로솔로션(클로베타솔프로피오네이트)_(55mg/110mL),급여,24,개월 미만,주식회사제뉴원사이언스,영유아
베르단트크림(클로베타솔프로피오네이트)_(0.225g/450g),급여,24,개월 미만,알파제약(주),영유아
케이타솔연고(클로베타솔프로피오네이트)_(0.225g/450g),급여,24,개월 미만,에이치케이이노엔(주),영유아
도모호론연고(클로베타솔프로피오네이트)_(0.225g/450g),급여,24,개월 미만,(주)동구바이오제약,영유아
브리딘티점안액0.15%(브리모니딘타르타르산염)_(7.5mg/5mL),급여,2,세 미만,한림제약(주),영유아
알파벨라점안액(브리모니딘타르타르산염)(1회용)_(0.45mg/0.3mL),급여,2,세 미만,(주)종근당,영유아
아젤론정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,한국유나이티드제약(주),소아
아젤틴정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,태극제약(주),소아
아젤스틴정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,(주)에이프로젠바이오로직스,소아
아젤라젠정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,(주)뉴젠팜,소아
알티온정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,한국코러스(주),소아
아젤라정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,경동제약(주),소아
아제탄정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,(주)씨엠지제약,소아
아젤라토정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,풍림무약(주),소아
아젤스테인정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,한국휴텍스제약(주),소아
아제스정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,영일제약(주),소아
서울아젤라스틴염산염정_(1mg/1정),급여,6,세 이하,(주)서울제약,소아
알스틴정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,아주약품(주),소아
아제틴정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,오스틴제약(주),소아
아젤란정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,알리코제약(주),소아
알제틴정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,(주)동구바이오제약,소아
아제나정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,(유)한풍제약,소아
아젤라진정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,(주)비보존제약,소아
알레라정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,이연제약(주),소아
아스틴정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,위더스제약(주),소아
아제라스정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,영풍제약(주),소아
아틴정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,한국프라임제약(주),소아
아젤라실정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,성원애드콕제약(주),소아
아제라틴정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,(주)경보제약,소아
에젤란정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,한국유니온제약(주),소아
아제타정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,(주)씨티씨바이오,소아
젤라스틴정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,구주제약(주),소아
아젤라스정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,대한뉴팜(주),소아
위더스독사조신메실산염정2밀리그램_(2.43mg/1정),급여,12,세 이하,위더스제약(주),소아
국제독시사이클린하이클레이트수화물캡슐100밀리그램_(0.1g/1캡슐),급여,12,세 미만,국제약품(주),소아
모노신정(독시사이클린하이클레이트수화물)_(0.1g/1정),급여,12,세 미만,고려제약(주),소아
덴티스타캡슐(독시사이클린하이클레이트수화물)_(21.33mg/1캡슐),급여,12,세 미만,하나제약(주),소아
독시라마이신캡슐100mg(독시사이클린수화물)_(0.1g/1캡슐),급여,12,세 미만,(주)씨엘팜,소아
신일모노독시엠캡슐(독시사이클린수화물)_(0.1g/1캡슐),급여,12,세 미만,신일제약(주),소아
독시투정(독시사이클린수화물)_(0.1g/1정),급여,12,세 미만,코스맥스파마(주),소아
독시메디정(독시사이클린수화물)_(0.1g/1정),급여,12,세 미만,주식회사 더유제약,소아
바이독시정(독시사이클린수화물)_(0.1g/1정),급여,12,세 미만,(주)메디카코리아,소아
다이놀정(에티드론산디나트륨)_(0.2g/1정),급여,12,세 미만,초당약품공업(주),소아
독시카민정(독사조신메실산염)_(2.43mg/1정),급여,12,세 이하,(주)한국파비스제약,소아
씨프로바이정250밀리그램(시프로플록사신염산염수화물)_(0.291g/1정),급여,18,세 미만,바이엘코리아(주),청소년
씨프러스정250밀리그람(염산시프로플록사신)_(0.291g/1정),급여,18,세 미만,(주)대웅제약,청소년
삼성시플로프록사신정(시프로플록사신염산염수화물)_(0.291g/1정),급여,18,세 미만,삼성제약(주),청소년
시폭사신정250밀리그람(시프로플록사신염산염수화물)_(0.291g/1정),급여,18,세 미만,동화약품(주),청소년
싸이신정250밀리그램(시프로플록사신염산염)_(0.291g/1정),급여,18,세 미만,일동제약(주),청소년
로프신정250mg(시프로플록사신염산염수화물)_(0.291g/1정),급여,18,세 미만,(주)바이넥스,청소년
싸이프로정(시프로플록사신염산염)_(0.291g/1정),급여,18,세 미만,동성제약(주),청소년
키포신정(시프로플록사신염산염수화물)_(0.291g/1정),급여,18,세 미만,국제약품(주),청소년
씨록정(시프로플록사신염산염수화물)_(0.291g/1정),급여,18,세 미만,한국유나이티드제약(주),청소년
시로판정(시프로플록사신염산염수화물)_(0.2915g/1정),급여,18,세 미만,에스케이케미칼(주),청소년
태극염산시프로플록사신정(수출명 : STACIPRO TABLET)_(0.25g/1정),급여,18,세 미만,태극제약(주),청소년
씨플로정(시프로플록사신염산염)_(0.291g/1정),급여,18,세 미만,(주)에이프로젠바이오로직스,청소년
프록스코정(시프로플록사신염산염)_(0.291g/1정),급여,18,세 미만,대화제약(주),청소년
싸이플록신정250밀리그램(시프로플록사신염산염수화물)_(0.291g/1정),급여,18,세 미만,(주)뉴젠팜,청소년
코러스시프로플록사신정(수출명 : TROXACINE TAB)_(0.25g/1정),급여,18,세 미만,한국코러스(주),청소년
키노스정250밀리그램(시프로플록사신염산염수화물)_(0.291g/1정),급여,18,세 미만,삼진제약(주),청소년
큐프론정(시프로플록사신염산염수화물)_(0.291g/1정),급여,18,세 미만,신풍제약(주),청소년
클로베타연고(클로베타솔프로피오네이트)_(0.225g/450g),급여,24,개월 미만,이연제약(주),영유아
프로솔연고(클로베타솔프로피오네이트)_(0.225g/450g),급여,24,개월 미만,주식회사제뉴원사이언스,영유아
베타베이트크림(클로베타솔프로피오네이트)_(0.25g/500g),급여,24,개월 미만,고려제약(주),영유아
도모호론크림(클로베타솔프로피오네이트)_(0.25g/500g),급여,24,개월 미만,(주)동구바이오제약,영유아
클로베타크림(클로베타솔프로피오네이트)_(0.25g/500g),급여,24,개월 미만,이연제약(주),영유아
도모호론연고(클로베타솔프로피오네이트)_(0.25g/500g),급여,24,개월 미만,(주)동구바이오제약,영유아
베타베이트연고(클로베타솔프로피오네이트)(수출명:클로베덤0.05%연고)(CLOBEDERM0.05%Ointment)_(0.2g/400g),급여,24,개월 미만,고려제약(주),영유아
"명문인산코데인정_(코데인인산염수화물, 20mg/1정)",급여,12,세 이하,명문제약(주),소아
"비씨인산코데인정_(코데인인산염수화물, 20mg/1정)",급여,12,세 이하,(주)비씨월드제약,소아
"하나인산코데인정_(코데인인산염수화물, 20mg/1정)",급여,12,세 이하,하나제약(주),소아
데코인정(코데인인산염수화물)_(20mg/1정),급여,12,세 이하,성원애드콕제약(주),소아
"구주인산코데인정_(코데인인산염수화물, 20mg/1정)",급여,12,세 이하,구주제약(주),소아
시클펜정(시클로벤자프린염산염)_(10mg/1정),급여,65,세 이상,영풍제약(주),고령자
본렉스이알캡슐15밀리그램(시클로벤자프린염산염)_(15mg/1캡슐),급여,65,세 이상,(주)새한제약,고령자
오큐시클로점안액(시클로펜톨레이트염산염)(수출명:OcuCyclo)_(50mg/5mL),급여,1,세 미만,삼일제약(주),영유아
